Marko	Marko	1,nomo
koleri	anger	4,radiko
iĝ	become	4,sufikso
ruĝa	ក្រហម	4,radiko
fali	to fall	4,radiko
pardoni	to forgive	4,radiko
doni	to give	4,radiko
ricevi	to receive	4,radiko
leciono	lesson	4,radiko
plu	further, anymore	4,adverbo
os	Verb in future tense	4,finaĵo
devi	must	4,radiko
fermi	to close	4,radiko
pordo	ទ្វារ	4,radiko
sinjoro	gentleman, Mr.	5,radiko
vendi	to sell	5,radiko
aŭto	ឡាន	5,radiko
kiu	who, which	5,tabelvorto
plaĉi	to be pleasing	5,radiko
demandi	to ask	5,radiko
plej	most (superlative)	5,adverbo
tiu	that person, that one	5,tabelvorto
ĉi	this	5,partikulo
ĉiu	everyone, every	5,tabelvorto
pli	more (comparative)	5,adverbo
ol	than	5,konjunkcio
tre	very	5,adverbo
certa	certain	5,radiko
kosti	to cost	5,radiko
bedaŭri	to regret	5,radiko
ind	worthy of	5,sufikso
aĉeti	to buy	5,radiko
ĉar	because, for	5,konjunkcio
veturi	to travel	5,radiko
dum	during	5,prepozicio
tio	that	5,tabelvorto
edzo	ប្តី	5,radiko
Maja	Maja	6,nomo
et	small, diminutive	6,sufikso
ul	person	6,sufikso
tri	បី	6,cifero
ig	cause something	6,sufikso
sana	healthy	6,radiko
alta	ខ្ពស់	6,radiko
temperaturo	temperature	6,radiko
resti	to remain	6,radiko
morgaŭ	tomorrow	6,adverbo
voki	to call	6,radiko
doktoro	doctor	6,radiko
je	of, with, in	6,prepozicio
naŭ	ប្រាំបួន	6,cifero
horo	hour	6,radiko
por	for	6,prepozicio
helpi	to help	6,radiko
montri	to show	6,radiko
piedo	foot	6,radiko
vesti	to dress	6,radiko
ĉio	everything	6,tabelvorto
fine	at the end	6,vorto
semajno	week	6,radiko
sub	under, beneath	6,prepozicio
teo	តែ	6,radiko
mateno	ព្រឹក	6,radiko
vespero	ល្ងាច	6,radiko
deziri	to wish	6,radiko
trankvila	calm	6,radiko
farti	feel, be	6,radiko
eg	big, augmentative	6,sufikso
Karlo	Karlo	6,nomo
hm	hm	6,interjekcio
dormi	sleep	7,radiko
suno	ព្រះអាទិត្យ	7,radiko
subita	suddenly	7,radiko
ek	beginning of action, suddenness	7,prefikso
salti	to jump	7,radiko
ĉiam	always, every time	7,tabelvorto
frua	early	7,radiko
hodiaŭ	today	7,adverbo
meti	to put	7,radiko
aĵ	thing, concrete manifestation	7,sufikso
kuri	to run	7,radiko
laŭ	according to, along	7,prepozicio
homo	human	7,radiko
kia	what kind of	7,tabelvorto
saĝa	wise	7,radiko
knabo	boy	7,radiko
baldaŭ	soon	7,adverbo
it	past passive	7,participo
nek	neither (… nor)	7,konjunkcio
pensi	to think	7,radiko
diablo	devil	7,radiko
memori	to remember	7,radiko
dimanĉo	កាលពីថ្ងៃអាទិត្យ	7,radiko
raporti	report	8,radiko
noto	note	8,radiko
aĉ	indicates undesirable quality	8,sufikso
kapo	head	8,radiko
kiom	how much	8,tabelvorto
da	of	8,prepozicio
ĉe	at	8,prepozicio
ludi	to play	8,radiko
mem	self	8,partikulo
tiom	that much	8,tabelvorto
kvankam	although	8,konjunkcio
tiam	then	8,tabelvorto
aŭdi	to hear	8,radiko
vorto	ពាក្យ	8,radiko
tuj	immediately	8,adverbo
respondi	to answer	8,radiko
kara	dear	8,radiko
problemo	បញ្ហា	8,radiko
pri	about, concerning	8,prepozicio
muziko	តន្ត្រី	8,radiko
ridi	to laugh	8,radiko
tamen	however	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	journey	9,radiko
lando	land	9,radiko
libera	free	9,radiko
tempo	time	9,radiko
decidi	to decide	9,radiko
italio	Italy	9,radiko
urbo	ទីក្រុង	9,radiko
feliĉa	សប្បាយរីករាយ	9,radiko
kie	where	9,tabelvorto
forgesi	to forget	9,radiko
esperi	to hope	9,radiko
us	Verb in conditional tense	9,finaĵo
komenci	to begin	9,radiko
jam	already	9,adverbo
vagono	coach	9,radiko
ar	group, collection	9,sufikso
nenio	nothing	9,tabelvorto
sekreto	secret	9,radiko
onklo	ពូ	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	full	9,radiko
um	indefinite meaning	9,sufikso
sia	reflexive pronoun	9,radiko
uzi	to use	9,radiko
domo	house	9,radiko
ad	continuous action	9,sufikso
atendi	to wait	9,radiko
do	so	9,adverbo
kial	why	9,tabelvorto
neniam	never, no time	9,tabelvorto
kiel	how	10,tabelvorto
pasi	to pass	10,radiko
naski	to give birth	10,radiko
kelka	some	10,radiko
familio	ក្រុមគ្រួសារ	10,radiko
an	member of a group	10,sufikso
iom	to some extent, a certain amount	10,tabelvorto
trovi	to find	10,radiko
almenaŭ	at least	10,adverbo
ordo	to order	10,radiko
io	something	10,tabelvorto
manki	be lacking	10,radiko
lakto	milk	10,radiko
necesa	to need	10,radiko
anstataŭ	instead of	10,prepozicio
intereso	to interest	10,radiko
ekskurso	excursion	10,radiko
klubo	club	10,radiko
ĵeti	to throw	10,radiko
ia	some kind of	10,tabelvorto
uj	container, tree, country	10,sufikso
ĝusta	to correct	10,radiko
for	away, off	10,prefikso
inter	between, among	10,prepozicio
sama	ដូចគ្នា	10,radiko
fojo	time, occasion	10,radiko
rajti	to be allowed to	10,radiko
proponi	to propose	10,radiko
du	ពីរ	10,cifero
parto	part	10,radiko
sukceso	success	10,radiko
iu	someone	10,tabelvorto
ideo		10,novaj
tro	too, too much	10,adverbo
ec	abstract quality	10,sufikso
reala	real	10,radiko
silento	silent	10,radiko
daŭri	to continue	10,radiko
nu	na	10,interjekcio
minuto	minute	10,radiko
telefono	ទូរស័ព្ទ	10,radiko
viziti	to visit	10,radiko
dolĉa	ផ្អែម	10,radiko
atenti	pay attention	10,radiko
dika	thick, fat	10,radiko
ŝanĝi	to change	10,radiko
opinii	opinion	10,radiko
sen	without	10,prepozicio
sola	alone	10,radiko
Veneci	Venice	11,radiko
Sankt-Mark	Saint Marcus	11,nomo
placo	place	11,radiko
milito	war	11,radiko
maro	សមុទ្រ	11,radiko
ŝipo	ship	11,radiko
gondolo	gondola	11,radiko
movi	to move	11,radiko
mezo	middle	11,radiko
proksima	នៅក្បែរ	11,radiko
granda	big, great	11,radiko
oni	one (indefinite pronoun)	11,pronomo
facila	easy	11,radiko
lumo	light	11,radiko
flanko	side	11,radiko
Stefan	Stephen	11,nomo
krii	to scream	11,radiko
turko	Turkish	11,radiko
renkonti	to meet	11,radiko
sekvi	to follow	11,radiko
Pietro	Pietro	11,nomo
koni	to know	11,radiko
akvo	water	11,radiko
tiel	like that, thus	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	to take	11,radiko
estro	chief, head	11,sufikso
preskaŭ	almost	11,adverbo
morti	to die	11,radiko
grava	សំខាន់	11,radiko
Ĝino	Ĝino	11,nomo
halti	to stop	11,radiko
apud	next to	11,prepozicio
dek	ទាំងដប់	11,cifero
jaro	year	11,radiko
koloro	color	11,radiko
Jakopo	Jacob	11,nomo
tial	for that reason	11,tabelvorto
timi	fear	11,radiko
sendi	to send	11,radiko
doĝo	doge	11,radiko
bezoni	to need	11,radiko
pagi	to pay	11,radiko
er	fragment, small piece, particle	11,sufikso
afero	matter	11,radiko
se	if	11,konjunkcio
pano	នំបុ័ង	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	until	11,prepozicio
S-ro	លោក	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	ធ្ងន់	12,radiko
larĝa	wide	12,radiko
korpo	body	12,radiko
aspekto	look, seem	12,radiko
rolo	role	12,radiko
fakto	fact	12,radiko
respekti	to respect	12,radiko
kontenta	satisfied	12,radiko
ofte	often	12,radiko
utila	useful	12,radiko
prezenti	to present	12,radiko
ĝeni	to distrub, to bother	12,radiko
nokto	យប់	12,radiko
arbo	ដើមឈើ	12,radiko
ĉefo	boss	12,radiko
vojo	way	12,radiko
ekster	outside of	12,prepozicio
sovaĝa	wild	12,radiko
bruo	noise	12,radiko
krom	besides, in addition to	12,prepozicio
tuŝi	to touch	12,radiko
naturo	nature	12,radiko
ĝenerali	general	12,radiko
seki	dry	12,radiko
paŝi	step	12,radiko
vivi	to live	12,radiko
dolori	pain, to hurt	12,radiko
agrabla	pleasant	12,radiko
ju	the (more, less)	12,partikulo
kastelo	castle	12,radiko
des	the (more, less)	12,partikulo
Adriano	Adriano	12,nomo
viro	man	12,radiko
kapabla	capable	12,radiko
industrio	industry	12,radiko
polico	police	12,radiko
persono	person	12,radiko
simila	similar	12,radiko
lasta	last	12,radiko
laŭta	loud	12,radiko
orelo	ear	12,radiko
momento	moment	12,radiko
ambaŭ	both	12,adverbo
direkti	direction	12,radiko
zorgi	care	12,radiko
situacio	sitation	12,radiko
branĉo	branch	12,radiko
rekta	direct	12,radiko
besto	សត្វ	12,radiko
promeni	to stroll	12,radiko
kavo	cave	12,radiko
odoro	smell	12,radiko
preta	ready	12,radiko
ajn	any, at all, -ever	12,partikulo
efektiva	actually	12,radiko
miri	to wonder	12,radiko
koro	heart	12,radiko
ŝajni	seem	12,radiko
supri	above	12,radiko
buŝo	មាត់	12,radiko
provi	to try	12,radiko
kapti	to catch	12,radiko
lampo	ចង្កៀង	12,radiko
paco	សន្តិភាព	12,radiko
formo	form	12,radiko
teni	hold	12,radiko
sono	to sound	12,radiko
aŭtoritato	authority	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	to mess up	12,radiko
klara	clear	12,radiko
eĉ	even	12,adverbo
tono	tone	12,radiko
ha	ha	12,interjekcio
bieno	estate, land	12,radiko
grafo	count, earl	12,radiko
monto	ភ្នំ	12,radiko
kalva	bald	12,radiko
inviti	to invite	12,radiko
peti	to request	12,radiko
teroro	terror	12,radiko
kontroli	to check	12,radiko
ĉirkaŭ	around	12,prepozicio
akcepti	ទទួលយក	12,radiko
perdi	to loose	12,radiko
