Marko	مارکو	1,nomo
aĉ	indicates undesirable quality	8,sufikso
kapo	head	8,radiko
kiom	how much	8,tabelvorto
da	از	8,prepozicio
ĉe	در	8,prepozicio
ludi	to play	8,radiko
mem	خود	8,partikulo
tiom	that much	8,tabelvorto
kvankam	اگرچه	8,konjunkcio
tiam	then	8,tabelvorto
aŭdi	to hear	8,radiko
vorto	word	8,radiko
tuj	فورا	8,adverbo
respondi	to answer	8,radiko
kara	dear	8,radiko
problemo	problem	8,radiko
pri	درباره, درباب	8,prepozicio
muziko	music	8,radiko
ridi	to laugh	8,radiko
tamen	اگرچه	8,adverbo
Petro	پترو	9,nomo
Maria	ماریا	9,nomo
vojaĝi	journey	9,radiko
lando	land	9,radiko
libera	free	9,radiko
tempo	time	9,radiko
decidi	to decide	9,radiko
italio	Italy	9,radiko
urbo	city	9,radiko
feliĉa	happy	9,radiko
kie	where	9,tabelvorto
forgesi	to forget	9,radiko
esperi	to hope	9,radiko
us	فعل در زمان شرطی	9,finaĵo
komenci	to begin	9,radiko
jam	از پیش	9,adverbo
vagono	coach	9,radiko
ar	group, collection	9,sufikso
nenio	nothing	9,tabelvorto
sekreto	secret	9,radiko
onklo	uncle	9,radiko
Bonifacio	بُنیفاسیو	9,nomo
plena	full	9,radiko
um	indefinite meaning	9,sufikso
sia	reflexive pronoun	9,radiko
uzi	to use	9,radiko
domo	house	9,radiko
ad	continuous action	9,sufikso
atendi	to wait	9,radiko
do	پس	9,adverbo
kial	why	9,tabelvorto
neniam	never, no time	9,tabelvorto
kiel	how	10,tabelvorto
pasi	to pass	10,radiko
naski	to give birth	10,radiko
kelka	some	10,radiko
familio	family	10,radiko
an	member of a group	10,sufikso
iom	to some extent, a certain amount	10,tabelvorto
trovi	to find	10,radiko
almenaŭ	حداقل	10,adverbo
ordo	to order	10,radiko
io	something	10,tabelvorto
manki	be lacking	10,radiko
lakto	milk	10,radiko
necesa	to need	10,radiko
anstataŭ	به جای	10,prepozicio
intereso	to interest	10,radiko
ekskurso	excursion	10,radiko
klubo	club	10,radiko
ĵeti	to throw	10,radiko
ia	some kind of	10,tabelvorto
uj	container, tree, country	10,sufikso
ĝusta	to correct	10,radiko
for	دور, خارج	10,prefikso
inter	بین, میان	10,prepozicio
sama	same	10,radiko
fojo	time, occasion	10,radiko
rajti	to be allowed to	10,radiko
proponi	to propose	10,radiko
du	دو	10,cifero
parto	part	10,radiko
sukceso	success	10,radiko
iu	someone	10,tabelvorto
ideo	ایده	10,novaj
tro	بیش از حد, بسیار زیاد	10,adverbo
ec	abstract quality	10,sufikso
reala	real	10,radiko
silento	silent	10,radiko
daŭri	to continue	10,radiko
nu	خب	10,interjekcio
minuto	minute	10,radiko
telefono	phone	10,radiko
viziti	to visit	10,radiko
dolĉa	sweet	10,radiko
atenti	pay attention	10,radiko
dika	thick, fat	10,radiko
ŝanĝi	to change	10,radiko
opinii	opinion	10,radiko
sen	بدون	10,prepozicio
sola	alone	10,radiko
Veneci	Venice	11,radiko
Sankt-Mark	حضرت مارکوس	11,nomo
placo	place	11,radiko
milito	war	11,radiko
maro	sea	11,radiko
ŝipo	ship	11,radiko
gondolo	gondola	11,radiko
movi	to move	11,radiko
mezo	middle	11,radiko
proksima	near	11,radiko
granda	big, great	11,radiko
oni	(کسی (ضمیر نامشخص	11,pronomo
facila	easy	11,radiko
lumo	light	11,radiko
flanko	side	11,radiko
Stefan	استفان	11,nomo
krii	to scream	11,radiko
turko	Turkish	11,radiko
renkonti	to meet	11,radiko
sekvi	to follow	11,radiko
Pietro	پیتر	11,nomo
koni	to know	11,radiko
akvo	water	11,radiko
tiel	like that, thus	11,tabelvorto
Ĝorĝo	جورج	11,nomo
preni	to take	11,radiko
estro	chief, head	11,sufikso
preskaŭ	تقریبا	11,adverbo
morti	to die	11,radiko
grava	important	11,radiko
Ĝino	جینو	11,nomo
halti	to stop	11,radiko
apud	کنار	11,prepozicio
dek	ده	11,cifero
jaro	year	11,radiko
koloro	color	11,radiko
Jakopo	یعغوب	11,nomo
tial	for that reason	11,tabelvorto
timi	fear	11,radiko
sendi	to send	11,radiko
doĝo	doge	11,radiko
bezoni	to need	11,radiko
pagi	to pay	11,radiko
er	fragment, small piece, particle	11,sufikso
afero	matter	11,radiko
se	اگر	11,konjunkcio
pano	bread	11,radiko
Don Kamilo	دون کامیلو	11,nomo
ĝis	تا	11,prepozicio
S-ro	آقای	12,mallongigo
Pipelbom	پیلپلبوم	12,nomo
peza	heavy	12,radiko
larĝa	wide	12,radiko
korpo	body	12,radiko
aspekto	look, seem	12,radiko
rolo	role	12,radiko
fakto	fact	12,radiko
respekti	to respect	12,radiko
kontenta	satisfied	12,radiko
ofte	often	12,radiko
utila	useful	12,radiko
prezenti	to present	12,radiko
ĝeni	to distrub, to bother	12,radiko
nokto	night	12,radiko
arbo	tree	12,radiko
ĉefo	boss	12,radiko
vojo	way	12,radiko
ekster	بیرون	12,prepozicio
sovaĝa	wild	12,radiko
bruo	noise	12,radiko
krom	در کنار, بعلاوه	12,prepozicio
tuŝi	to touch	12,radiko
naturo	nature	12,radiko
ĝenerali	general	12,radiko
seki	dry	12,radiko
paŝi	step	12,radiko
vivi	to live	12,radiko
dolori	pain, to hurt	12,radiko
agrabla	pleasant	12,radiko
ju	(هرچه (بیشتر، کمتر	12,partikulo
kastelo	castle	12,radiko
des	(هرچه (بیشتر، کمتر	12,partikulo
Adriano	آدریانو	12,nomo
viro	man	12,radiko
kapabla	capable	12,radiko
industrio	industry	12,radiko
polico	police	12,radiko
persono	person	12,radiko
simila	similar	12,radiko
lasta	last	12,radiko
laŭta	loud	12,radiko
orelo	ear	12,radiko
momento	moment	12,radiko
ambaŭ	هردو	12,adverbo
direkti	direction	12,radiko
zorgi	care	12,radiko
situacio	sitation	12,radiko
branĉo	branch	12,radiko
rekta	direct	12,radiko
besto	animal	12,radiko
promeni	to stroll	12,radiko
kavo	cave	12,radiko
odoro	smell	12,radiko
preta	ready	12,radiko
ajn	هر کدام, بهیچ وجه, هرگز	12,partikulo
efektiva	actually	12,radiko
miri	to wonder	12,radiko
koro	heart	12,radiko
ŝajni	seem	12,radiko
supri	above	12,radiko
buŝo	mouth	12,radiko
provi	to try	12,radiko
kapti	to catch	12,radiko
lampo	lamp	12,radiko
paco	peace	12,radiko
formo	form	12,radiko
teni	hold	12,radiko
sono	to sound	12,radiko
aŭtoritato	authority	12,radiko
nuuuu	خبببب	12,interjekcio
eee	اِ	12,interjekcio
fuŝi	to mess up	12,radiko
klara	clear	12,radiko
eĉ	حتی	12,adverbo
tono	tone	12,radiko
ha	ها	12,interjekcio
bieno	estate, land	12,radiko
grafo	count, earl	12,radiko
monto	mountain	12,radiko
kalva	bald	12,radiko
inviti	to invite	12,radiko
peti	to request	12,radiko
teroro	terror	12,radiko
kontroli	to check	12,radiko
ĉirkaŭ	پیرامون	12,prepozicio
akcepti	accept	12,radiko
perdi	to loose	12,radiko
